id,title,description,price,category
1,Wireless Bluetooth Headphones,High-quality wireless headphones with noise cancellation and 30-hour battery life,89.99,Electronics
2,Running Shoes for Men,Comfortable running shoes with breathable mesh and cushioned sole for long-distance running,72.50,Sports
3,Coffee Maker Programmable,Programmable drip coffee maker with strength control and auto-shutoff feature,45.00,Home Appliances
4,Leather Wallet for Men,Genuine leather wallet with multiple card slots and RFID blocking technology,24.99,Accessories
5,Stainless Steel Water Bottle,Insulated stainless steel water bottle that keeps drinks cold for 24 hours or hot for 12 hours,19.99,Outdoors
6,Organic Green Tea Box,Box of 20 organic green tea bags rich in antioxidants and natural flavor,12.99,Grocery
7,Yoga Mat Non-Slip,Extra thick non-slip yoga mat with alignment lines for beginners and advanced practitioners,35.00,Sports
8,Smartphone Case Protective,Shock-absorbent case compatible with latest iPhone and Android models,15.99,Electronics
9,Digital Kitchen Scale,Accurate digital kitchen scale with tare function and LCD display for baking and cooking,22.50,Home Appliances
10,Bluetooth Speaker Portable,Portable Bluetooth speaker with 360-degree sound and waterproof design,59.99,Electronics
